date,lst_mean,lst_min,lst_max
2022-01-03,12.057,5.87,23.59
2022-01-04,12.808,6.64,25.06
2022-01-05,11.399,7.7,18.32
2022-01-06,9.4,4.17,18.76
2022-01-07,10.422,4.32,20.02
2022-01-08,7.363,4.36,17.88
2022-01-09,6.595,4.79,10.88
2022-01-10,16.361,11.37,24.61
2022-01-11,6.692,-0.29,10.7
2022-01-12,7.996,1.8,16.9
2022-01-13,7.499,-1.31,14.94
2022-01-14,3.897,-2.2,6.93
2022-01-15,8.042,4.32,15.58
2022-01-16,8.129,2.04,19.05
2022-01-17,7.541,1.06,18.94
2022-01-18,7.405,1.45,19.03
2022-01-19,6.569,1.15,17.26
2022-01-20,6.835,1.72,17.74
2022-01-21,6.252,-1.06,19.12
2022-01-22,-0.211,-3.06,4.24
2022-01-23,-1.035,-3.54,3.18
2022-01-24,1.554,-2.47,9.23
2022-01-25,2.279,-4.25,6.43
2022-01-26,3.29,2.04,5.25
2022-01-27,4.434,-1.53,6.45
2022-01-28,10.865,4.8,18.69
2022-01-29,8.75,2.9,21.31
2022-01-30,9.471,2.22,22.79
2022-01-31,12.565,3.76,23.39
2022-02-01,12.747,7.72,22.97
2022-02-02,14.296,7.16,27.69
2022-02-03,13.587,5.11,26.06
2022-02-04,11.85,9.47,19.02
2022-02-05,,,
2022-02-06,10.003,7.66,14.47
2022-02-07,12.547,6.47,25.0
2022-02-08,8.908,6.85,15.92
2022-02-09,8.951,5.22,16.18
2022-02-10,10.903,6.37,17.63
2022-02-11,8.332,5.08,17.29
2022-02-12,9.375,4.18,18.94
2022-02-13,11.341,4.32,21.44
2022-02-14,13.718,-2.56,23.94
2022-02-15,10.764,6.56,22.07
2022-02-16,11.02,3.45,25.47
2022-02-17,16.633,6.88,30.06
2022-02-18,15.644,6.51,29.59
2022-02-19,14.003,9.42,17.79
2022-02-20,12.815,7.45,21.83
2022-02-21,15.946,5.26,28.81
2022-02-22,14.776,6.99,28.55
2022-02-23,8.457,4.11,15.13
2022-02-24,12.681,5.89,26.52
2022-02-25,3.51,2.47,4.55
2022-02-26,9.61,8.52,10.7
2022-02-27,,,
2022-02-28,11.947,6.07,21.55
2022-03-01,14.499,5.24,29.92
2022-03-02,16.005,6.92,29.71
2022-03-03,27.64,27.64,27.64
2022-03-04,7.85,6.17,8.94
2022-03-05,7.43,6.9,7.79
2022-03-06,,,
2022-03-07,2.75,-3.21,7.86
2022-03-08,10.229,7.12,16.84
2022-03-09,11.144,6.09,22.88
2022-03-10,13.109,5.06,19.97
2022-03-11,7.48,7.48,7.48
2022-03-12,14.073,8.23,25.27
2022-03-13,17.34,17.34,17.34
2022-03-14,,,
2022-03-15,,,
2022-03-16,,,
2022-03-17,,,
2022-03-18,,,
2022-03-19,6.958,-0.79,10.03
2022-03-20,3.0,2.57,3.49
2022-03-21,1.45,1.45,1.45
2022-03-22,1.94,1.94,1.94
2022-03-23,0.63,0.63,0.63
2022-03-24,,,
2022-03-25,,,
2022-03-26,2.205,1.55,2.86
2022-03-27,8.662,4.85,14.1
2022-03-28,9.004,7.56,11.34
2022-03-29,12.676,0.39,17.88
2022-03-30,1.55,1.55,1.55
2022-03-31,10.101,6.03,15.6
2022-04-01,10.203,-0.77,21.22
2022-04-02,11.832,4.79,21.97
2022-04-03,7.189,2.27,17.6
2022-04-04,-2.065,-2.83,-1.3
2022-04-05,,,
2022-04-06,8.657,0.83,20.76
2022-04-07,16.27,7.71,27.78
2022-04-08,17.552,10.62,30.45
2022-04-09,18.284,5.6,29.15
2022-04-10,16.238,10.06,26.57
2022-04-11,13.897,2.94,23.91
2022-04-12,11.945,11.0,12.89
2022-04-13,3.93,3.32,4.54
2022-04-14,10.883,9.45,12.12
2022-04-15,17.702,10.17,25.6
2022-04-16,18.717,9.17,31.02
2022-04-17,21.308,12.38,35.25
2022-04-18,22.135,10.95,30.14
2022-04-19,18.682,11.89,30.02
2022-04-20,8.474,1.86,11.67
2022-04-21,14.363,4.04,26.77
2022-04-22,14.016,9.64,18.3
2022-04-23,18.157,11.15,27.21
2022-04-24,17.121,8.21,29.74
2022-04-25,18.905,8.25,31.89
2022-04-26,6.808,5.53,7.62
2022-04-27,,,
2022-04-28,,,
2022-04-29,16.163,5.86,27.35
2022-04-30,18.745,9.81,31.73
2022-05-01,16.951,11.43,27.5
2022-05-02,19.345,13.08,29.35
2022-05-03,13.542,11.41,25.01
2022-05-04,,,
2022-05-05,16.352,5.68,24.5
2022-05-06,18.945,10.97,31.17
2022-05-07,18.909,11.52,29.67
2022-05-08,20.56,11.38,32.46
2022-05-09,19.39,11.31,32.28
2022-05-10,20.358,11.56,33.14
2022-05-11,20.138,11.84,32.43
2022-05-12,19.614,12.65,32.34
2022-05-13,22.248,13.02,34.48
2022-05-14,21.699,11.22,35.6
2022-05-15,20.659,14.85,29.88
2022-05-16,24.033,15.69,37.56
2022-05-17,24.896,16.16,36.25
2022-05-18,24.371,15.56,37.37
2022-05-19,24.351,15.6,35.39
2022-05-20,25.23,14.11,32.64
2022-05-21,23.414,16.19,35.97
2022-05-22,19.442,12.35,32.24
2022-05-23,27.517,18.43,40.65
2022-05-24,27.338,19.34,36.33
2022-05-25,20.528,13.56,32.4
2022-05-26,21.785,12.9,33.09
2022-05-27,24.491,12.87,38.85
2022-05-28,26.1,15.49,39.46
2022-05-29,24.166,18.35,39.66
2022-05-30,24.744,16.97,37.49
2022-05-31,26.349,16.36,38.26
2022-06-01,25.369,16.16,37.95
2022-06-02,22.076,17.11,41.41
2022-06-03,25.486,17.57,37.48
2022-06-04,28.113,15.18,38.44
2022-06-05,24.123,20.02,38.55
2022-06-06,27.751,16.42,40.57
2022-06-07,29.355,18.19,43.06
2022-06-08,23.387,17.09,38.6
2022-06-09,29.72,20.34,40.28
2022-06-10,27.637,18.46,40.95
2022-06-11,27.015,16.86,40.88
2022-06-12,24.528,14.24,38.61
2022-06-13,28.116,17.69,37.67
2022-06-14,29.798,15.16,41.38
2022-06-15,27.046,19.79,40.07
2022-06-16,26.65,18.76,36.94
2022-06-17,28.962,18.4,42.36
2022-06-18,28.864,14.82,42.96
2022-06-19,23.513,14.51,34.28
2022-06-20,23.899,14.98,31.93
2022-06-21,16.77,15.19,18.35
2022-06-22,25.165,16.23,36.81
2022-06-23,26.103,17.16,39.22
2022-06-24,26.881,18.94,40.22
2022-06-25,27.314,16.27,41.95
2022-06-26,26.9,17.49,40.26
2022-06-27,27.253,17.91,40.53
2022-06-28,26.528,18.18,40.07
2022-06-29,27.633,18.61,41.03
2022-06-30,26.913,17.88,38.64
2022-07-01,25.116,17.85,39.16
2022-07-02,18.961,14.71,31.2
2022-07-31,32.764,22.88,43.07
2022-08-01,30.542,21.73,43.83
2022-08-02,31.691,21.99,47.6
2022-08-03,30.933,21.64,44.33
2022-08-04,28.843,20.77,42.87
2022-08-05,29.887,20.07,43.91
2022-08-06,30.161,21.34,44.08
2022-08-07,30.318,20.81,44.5
2022-08-08,30.201,20.7,44.07
2022-08-09,29.533,20.98,42.56
2022-08-10,28.739,21.12,39.67
2022-08-11,29.728,20.6,42.43
2022-08-12,28.611,20.48,36.54
2022-08-13,29.287,19.65,42.39
2022-08-14,27.344,18.35,43.12
2022-08-15,31.626,22.73,46.9
2022-08-16,31.659,21.39,45.66
2022-08-17,31.017,21.85,44.58
2022-08-18,27.752,19.62,37.5
2022-08-19,27.698,19.84,39.92
2022-08-20,28.192,18.71,41.24
2022-08-21,31.405,20.77,47.3
2022-08-22,30.612,22.56,42.76
2022-08-23,27.719,20.95,41.89
2022-08-24,27.103,20.75,42.4
2022-08-25,32.418,21.91,44.06
2022-08-26,28.059,21.25,37.85
2022-08-27,28.587,20.56,42.4
2022-08-28,28.686,18.77,41.0
2022-08-29,22.308,16.77,30.6
2022-08-30,21.06,15.66,31.51
2022-08-31,29.452,23.51,38.49
2022-09-01,27.777,19.69,42.89
2022-09-02,29.993,25.65,38.18
2022-09-03,36.688,23.33,43.54
2022-09-04,29.334,21.06,45.25
2022-09-05,31.396,20.83,44.89
2022-09-06,30.096,19.84,44.73
2022-09-07,36.167,21.08,45.52
2022-09-08,31.742,21.41,45.04
2022-09-09,30.446,20.78,44.92
2022-09-10,28.262,19.53,41.78
2022-09-11,30.233,19.53,41.07
2022-09-12,26.056,21.1,43.18
2022-09-13,,,
2022-09-14,23.736,20.37,28.73
2022-09-15,29.107,20.23,40.67
2022-09-16,28.324,21.68,41.09
2022-09-17,26.305,18.52,37.57
2022-09-18,19.557,10.6,30.07
2022-09-19,23.505,11.35,35.41
2022-09-20,26.348,17.19,39.61
2022-09-21,34.62,34.62,34.62
2022-09-22,27.417,18.71,41.26
2022-09-23,23.195,17.68,36.07
2022-09-24,24.156,9.84,37.1
2022-09-25,19.663,16.06,24.01
2022-09-26,17.458,3.94,27.24
2022-09-27,22.126,15.37,33.37
2022-09-28,23.366,16.12,35.33
2022-09-29,19.307,16.87,27.71
2022-09-30,20.241,13.28,30.12
2022-11-01,22.891,15.55,33.89
2022-11-02,18.702,14.81,25.96
2022-11-03,16.272,14.95,18.07
2022-11-04,14.026,9.26,21.27
2022-11-05,18.14,10.9,30.31
2022-11-06,18.016,10.03,29.83
2022-11-07,18.688,12.55,30.56
2022-11-08,17.503,12.56,27.19
2022-11-09,21.959,13.64,30.58
2022-11-10,15.839,11.84,25.53
2022-11-11,12.809,7.46,15.55
2022-11-12,16.338,8.99,22.58
2022-11-13,16.147,8.26,21.89
2022-11-14,17.841,7.05,27.4
2022-11-15,15.595,12.38,20.94
2022-11-16,,,
2022-11-17,21.073,12.6,31.11
2022-11-18,12.728,9.14,15.26
2022-11-19,13.071,8.92,19.45
2022-11-20,14.969,8.47,23.99
2022-11-21,11.272,8.77,14.45
2022-11-22,14.252,10.95,18.78
2022-11-23,17.178,14.04,24.44
2022-11-24,17.191,11.41,27.61
2022-11-25,16.146,6.82,24.7
2022-11-26,13.757,7.36,22.69
2022-11-27,11.824,6.24,17.07
2022-11-28,13.331,8.12,22.2
2022-11-29,13.646,8.02,21.8
2022-11-30,10.988,6.82,20.61
2022-12-01,,,
2022-12-02,5.606,1.82,9.5
2022-12-03,7.746,-2.97,17.44
2022-12-04,13.303,-5.04,22.87
2022-12-05,14.807,6.69,19.51
2022-12-06,-0.16,-1.25,0.93
2022-12-07,6.919,-3.82,19.85
2022-12-08,8.43,8.43,8.43
2022-12-09,,,
2022-12-10,12.771,8.81,21.57
2022-12-11,6.747,2.84,14.41
2022-12-12,12.682,8.77,20.21
2022-12-13,19.01,19.01,19.01
2022-12-14,15.528,10.46,18.02
2022-12-15,9.56,0.04,12.33
2022-12-16,10.105,7.66,18.36
2022-12-17,9.227,1.35,21.36
2022-12-18,10.463,6.86,17.73
2022-12-19,10.28,8.38,16.36
2022-12-20,9.469,5.81,18.07
2022-12-21,13.916,6.93,22.1
2022-12-22,15.203,10.43,24.42
2022-12-23,16.214,9.93,25.74
2022-12-24,15.772,9.42,26.33
2022-12-25,14.853,8.71,25.62
2022-12-26,13.571,6.33,22.77
2022-12-27,13.491,7.1,24.99
2022-12-28,9.826,3.94,21.61
2022-12-29,11.47,7.06,23.22
2022-12-30,14.278,6.85,24.3
2022-12-31,11.948,8.2,22.0
2023-01-01,5.86,4.96,6.76
2023-01-02,10.725,3.9,22.75
2023-01-03,13.467,8.09,22.85
2023-01-04,9.709,7.36,16.39
2023-01-05,10.976,6.35,19.93
2023-01-06,10.741,5.38,21.22
2023-01-07,11.166,5.73,22.14
2023-01-08,8.16,6.25,9.91
2023-01-09,16.027,12.86,23.44
2023-01-10,14.837,9.11,25.54
2023-01-11,14.395,8.89,23.36
2023-01-12,13.162,7.49,23.16
2023-01-13,10.707,6.25,18.56
2023-01-14,11.395,3.94,21.63
2023-01-15,12.557,4.98,24.46
2023-01-16,9.355,6.51,14.28
2023-01-17,14.851,7.55,21.71
2023-01-18,8.054,1.53,14.85
2023-01-19,9.809,4.84,19.42
2023-01-20,12.477,6.89,22.94
2023-01-21,9.913,3.47,20.88
2023-01-22,7.119,2.16,16.58
2023-01-23,7.18,0.73,17.37
2023-01-24,-1.288,-5.78,3.93
2023-01-25,3.184,-1.11,16.99
2023-01-26,5.994,2.13,18.97
2023-01-27,7.889,2.57,19.23
2023-01-28,8.443,2.91,18.89
2023-01-29,5.676,-1.86,19.11
2023-01-30,7.946,1.1,19.93
2023-01-31,9.431,1.93,22.84
2023-02-01,8.744,2.14,21.75
2023-02-02,9.76,3.06,21.26
2023-02-03,9.717,3.41,23.1
2023-02-04,12.168,3.69,26.73
2023-02-05,11.383,5.11,23.73
2023-02-06,5.148,4.39,5.63
2023-02-07,1.04,-1.87,6.83
2023-02-08,5.978,-0.49,17.28
2023-02-09,2.242,-5.27,5.76
2023-02-10,2.121,-2.92,5.89
2023-02-11,1.237,-6.22,5.72
2023-02-12,6.001,1.42,9.44
2023-02-13,5.275,5.13,5.42
2023-02-14,-1.81,-1.81,-1.81
2023-02-15,7.89,7.89,7.89
2023-02-16,6.739,-4.53,22.84
2023-02-17,5.802,4.31,6.82
2023-02-18,5.03,2.66,7.66
2023-02-19,10.859,5.52,22.54
2023-02-20,8.308,4.62,18.5
2023-02-21,9.522,5.0,21.73
2023-02-22,13.095,6.99,24.27
2023-02-23,12.933,6.94,22.91
2023-02-24,,,
2023-02-25,7.503,4.81,20.93
2023-02-26,11.707,3.62,22.93
2023-02-27,8.795,3.26,18.89
2023-02-28,9.402,1.99,23.14
2023-03-01,7.476,2.57,24.66
2023-03-02,7.795,1.66,18.83
2023-03-03,10.188,2.75,23.4
2023-03-04,10.53,3.1,25.03
2023-03-05,7.454,3.39,14.83
2023-03-06,9.091,5.67,17.29
2023-03-07,20.484,11.52,29.91
2023-03-08,21.179,10.27,35.46
2023-03-09,15.463,14.82,16.14
2023-03-10,15.65,13.55,17.69
2023-03-11,21.524,12.65,32.66
2023-03-12,23.514,14.55,36.49
2023-03-13,21.624,10.46,36.98
2023-03-14,16.679,11.67,27.64
2023-03-15,19.275,10.61,34.04
2023-03-16,17.373,8.29,32.36
2023-03-17,15.314,5.23,27.73
2023-03-18,11.207,6.96,14.48
2023-03-19,16.588,10.21,30.16
2023-03-20,14.862,8.2,29.44
2023-03-21,14.344,4.34,29.8
2023-03-22,18.234,8.08,32.77
2023-03-23,19.919,9.65,35.4
2023-03-24,15.021,11.5,18.69
2023-03-25,22.125,13.88,37.52
2023-03-26,26.705,14.63,37.63
2023-03-27,19.866,9.39,34.75
2023-03-28,15.592,7.93,30.43
2023-03-29,18.055,6.61,33.54
2023-03-30,23.788,9.87,37.11
2023-03-31,34.11,33.08,35.2
2023-04-01,22.616,17.01,34.68
2023-04-02,19.262,7.37,32.22
2023-04-03,18.037,9.44,33.23
2023-04-04,16.578,3.04,30.22
2023-04-05,15.113,8.31,29.1
2023-04-06,13.037,6.44,28.09
2023-04-07,17.333,6.99,32.62
2023-04-08,20.095,8.55,38.22
2023-04-09,20.96,10.21,35.72
2023-04-10,20.047,10.56,33.52
2023-04-11,23.232,12.98,33.73
2023-04-12,25.756,14.23,39.28
2023-04-13,23.314,12.85,29.81
2023-04-14,18.217,9.93,31.37
2023-04-15,24.663,13.28,37.95
2023-04-16,19.691,11.75,32.08
2023-04-17,18.151,8.89,32.43
2023-04-18,17.497,9.47,28.2
2023-04-19,17.297,10.82,30.79
2023-04-20,25.509,14.26,36.0
2023-04-21,21.878,10.7,34.48
2023-04-22,23.769,8.89,36.79
2023-04-23,23.603,14.2,38.87
2023-04-24,24.962,15.26,37.41
2023-04-25,24.438,13.19,42.32
2023-04-26,24.446,15.05,37.37
2023-04-27,22.511,12.13,38.68
2023-04-28,34.835,33.2,36.47
2023-04-29,17.9,16.82,18.44
2023-04-30,18.668,15.54,27.66
2023-05-01,23.608,14.66,35.34
2023-05-02,19.009,12.31,33.69
2023-05-03,15.711,11.63,23.89
2023-05-04,16.214,12.16,23.12
2023-05-05,23.662,13.64,37.0
2023-05-06,22.1,12.84,34.07
2023-05-07,26.299,13.72,34.74
2023-05-08,21.028,13.52,36.42
2023-05-09,22.889,8.42,37.71
2023-05-10,27.466,17.13,36.09
2023-05-11,18.004,11.79,26.94
2023-05-12,14.778,6.92,24.68
2023-05-13,16.886,11.14,25.84
2023-05-14,18.405,9.71,31.21
2023-05-15,19.809,7.95,34.22
2023-05-16,21.66,13.72,35.36
2023-05-17,29.3,29.3,29.3
2023-05-18,20.803,12.42,27.56
2023-05-19,13.34,12.07,15.71
2023-05-20,19.955,10.91,30.14
2023-05-21,15.02,11.37,18.13
2023-05-22,,,
2023-05-23,10.487,5.87,13.46
2023-05-24,14.514,9.2,19.12
2023-05-25,18.235,12.11,27.74
2023-05-26,18.59,9.29,25.28
2023-05-27,19.186,15.29,22.05
2023-05-28,15.092,10.46,22.96
2023-05-29,17.946,4.1,33.46
2023-05-30,26.455,24.19,28.72
2023-05-31,23.248,15.06,32.51
2023-06-01,18.111,14.3,27.57
2023-06-02,16.735,14.45,21.93
2023-06-03,17.022,14.96,21.74
2023-06-04,19.969,14.86,28.29
2023-06-05,21.611,14.76,33.64
2023-06-06,27.5,20.12,33.9
2023-06-07,12.9,11.59,14.21
2023-06-08,19.977,15.23,26.94
2023-06-09,22.066,9.48,34.19
2023-06-10,26.981,17.51,37.39
2023-06-11,29.932,19.42,38.69
2023-06-12,19.82,19.51,20.13
2023-06-13,24.742,17.62,30.88
2023-06-14,24.506,16.9,35.82
2023-06-15,26.299,16.77,38.34
2023-06-16,25.793,16.69,35.9
2023-06-17,29.346,17.69,40.81
2023-06-18,22.377,18.85,29.81
2023-06-19,24.544,16.08,35.07
2023-06-20,26.645,17.32,37.82
2023-06-21,26.597,16.86,37.7
2023-06-22,28.196,18.03,40.37
2023-06-23,27.538,19.51,39.11
2023-06-24,28.114,18.57,41.36
2023-06-25,29.451,19.13,42.79
2023-06-26,31.432,21.19,43.37
2023-06-27,29.352,18.07,42.43
2023-06-28,28.275,18.15,41.59
2023-06-29,28.025,20.14,40.3
2023-06-30,23.692,15.08,32.54
2023-07-01,28.072,19.62,38.3
2023-07-02,28.789,20.5,41.91
2023-07-03,29.582,20.23,42.24
2023-07-04,30.779,19.77,45.25
2023-07-05,27.303,20.24,37.75
2023-07-06,25.128,20.91,37.92
2023-07-07,28.923,17.36,40.12
2023-07-08,27.763,17.84,39.25
2023-07-09,30.955,20.35,41.67
2023-07-10,29.172,20.97,38.94
2023-07-11,29.509,21.96,40.79
2023-07-12,28.804,21.62,42.58
2023-07-13,28.398,21.89,42.16
2023-07-14,28.077,18.61,41.77
2023-07-15,30.433,21.48,44.23
2023-07-16,27.257,16.4,38.99
2023-07-17,30.203,20.02,41.99
2023-07-18,33.809,22.64,45.57
2023-07-19,32.349,24.37,47.32
2023-07-20,27.166,23.63,41.94
2023-07-21,32.453,23.01,46.96
2023-07-22,24.475,21.1,36.56
2023-07-23,23.545,20.96,29.78
2023-07-24,31.859,27.63,41.56
2023-07-25,31.542,23.45,45.37
2023-07-26,27.849,20.43,36.93
2023-07-27,27.377,19.97,40.89
2023-07-28,29.694,21.46,42.43
2023-07-29,30.378,20.54,43.49
2023-07-30,31.007,21.78,43.18
2023-07-31,30.442,21.42,43.07
2023-08-01,32.875,22.42,47.76
2023-08-02,32.88,22.24,47.72
2023-08-03,31.798,22.7,44.04
2023-08-04,25.785,15.09,37.08
2023-08-05,28.767,19.16,44.19
2023-08-06,29.777,19.34,45.08
2023-08-07,23.53,17.06,34.28
2023-08-08,25.135,14.29,37.83
2023-08-09,25.603,15.27,36.04
2023-08-10,28.117,15.23,40.98
2023-08-11,31.24,23.03,42.22
2023-08-12,29.147,21.5,41.92
2023-08-13,29.267,20.42,43.05
2023-08-14,29.261,20.26,42.49
2023-08-15,27.653,18.24,39.76
2023-08-16,29.667,20.31,41.53
2023-08-17,30.629,20.87,44.5
2023-08-18,33.252,22.37,45.44
2023-08-19,33.605,23.64,47.69
2023-08-20,32.071,22.74,44.48
2023-08-21,31.605,22.19,44.76
2023-08-22,31.992,22.4,47.6
2023-08-23,31.253,22.01,46.14
2023-08-24,31.461,21.26,46.67
2023-08-25,32.185,20.96,47.08
2023-08-26,30.687,21.98,45.23
2023-08-27,31.742,22.7,37.5
2023-08-28,29.642,19.09,41.59
2023-08-29,28.693,19.38,44.6
2023-08-30,21.554,18.23,28.65
2023-08-31,27.323,16.75,40.94
2023-09-01,23.306,18.7,35.25
2023-09-02,24.87,24.29,25.45
2023-09-03,12.205,11.37,13.04
